data	D00035	D00110	D00136	D00195	D00219	D00225	D00227	D00228	D00234	D00252	D00274	D00283	D00293	D00294	D00303	D00319	D00326	D00329	D00331	D00332	D00335	D00336	D00338	D00340	D00345	D00349	D00351	D00354	D00358	D00364	D00367	D00373	D00379	D00380	D00392	D00394	D00418	D00437	D00438	D00451	D00456	D00464	D00474	D00477	D00480	D00495	D00499	D00504	D00512	D00513	D00519	D00521	D00524	D00528	D00530	D00533	D00536	D00537	D00538	D00539	
D00329	0.43286	0.6833	0.71627	0.5903	0.61558	0.60115	0.66	0.57282	0.64933	0.6804	0.76255	0.67746	0.79151	0.65344	0.58504	0.61626	0.68875	1.0	0.59756	0.47972	0.66993	0.67853	0.88846	0.58754	0.58997	0.60362	0.71286	0.51407	0.63089	0.7038	0.61573	0.5647	0.54393	0.61437	0.4836	0.71326	0.48588	0.61671	0.67494	0.60115	0.63692	0.59731	0.64437	0.61878	0.60872	0.5012	0.57875	0.55471	0.63774	0.56486	0.56553	0.73747	0.50958	0.55909	0.61599	0.72096	0.63584	0.61946	0.52747	0.50066	
D00331	0.43336	0.62852	0.66454	0.57237	0.63808	0.57016	0.66819	0.5555	0.63881	0.64188	0.6618	0.61548	0.56647	0.52575	0.62684	0.66419	0.60038	0.62601	1.0	0.49631	0.6817	0.67955	0.61309	0.74421	0.58655	0.65171	0.72935	0.60411	0.57538	0.65246	0.58454	0.53136	0.56527	0.64202	0.50075	0.58973	0.50161	0.63925	0.6666	0.67028	0.56647	0.59372	0.58812	0.60277	0.56469	0.50563	0.5456	0.60724	0.6078	0.561	0.66244	0.69875	0.45836	0.55478	0.63938	0.67149	0.65107	0.62956	0.65093	0.47646	
D00332	0.57557	0.68727	0.71922	0.68061	0.75528	0.63597	0.69075	0.65877	0.6533	0.60239	0.72124	0.65581	0.66959	0.65435	0.70984	0.71464	0.6732	0.68247	0.70057	1.0	0.7381	0.74304	0.69728	0.69258	0.65528	0.71166	0.69113	0.62386	0.68579	0.70635	0.64263	0.6426	0.75217	0.71521	0.63457	0.65984	0.74039	0.70763	0.71646	0.68281	0.67697	0.64266	0.73001	0.68123	0.60887	0.75186	0.75932	0.64403	0.64266	0.68123	0.61173	0.71147	0.66402	0.65435	0.65099	0.66154	0.74706	0.73252	0.598	0.69384	
D00335	0.42558	0.52152	0.57342	0.55214	0.81441	0.56897	0.58964	0.55884	0.57427	0.49422	0.5649	0.53659	0.54391	0.55765	0.59795	0.58551	0.5899	0.58726	0.57648	0.48258	1.0	0.94068	0.58367	0.59023	0.63914	0.60305	0.61435	0.55057	0.49738	0.53167	0.53682	0.54041	0.66216	0.54707	0.47549	0.48756	0.55057	0.61547	0.69514	0.57932	0.57562	0.52222	0.50807	0.49814	0.52222	0.47909	0.57193	0.47941	0.54358	0.49716	0.58347	0.65795	0.44365	0.5473	0.56907	0.53672	0.51133	0.60168	0.46851	0.45795	
D00336	0.42158	0.55562	0.57161	0.55791	0.74905	0.54141	0.56943	0.55174	0.61627	0.48078	0.58595	0.52089	0.57835	0.55093	0.58906	0.5776	0.58145	0.57895	0.55864	0.47987	0.91934	1.0	0.56544	0.57165	0.62836	0.60431	0.62172	0.51451	0.50369	0.52634	0.52686	0.5343	0.64003	0.54091	0.46306	0.48459	0.53411	0.62586	0.68549	0.56132	0.53761	0.52315	0.50369	0.524	0.5177	0.47657	0.56444	0.47657	0.53326	0.50378	0.56525	0.64792	0.45314	0.51111	0.56173	0.521	0.49698	0.58272	0.45645	0.45625	
D00338	0.43748	0.67578	0.70774	0.59382	0.61085	0.59055	0.65246	0.56705	0.61952	0.67767	0.74406	0.6396	0.80488	0.64963	0.5765	0.60827	0.65819	0.89794	0.59366	0.48355	0.67385	0.67213	1.0	0.60974	0.58183	0.60751	0.71537	0.50535	0.55367	0.68319	0.59762	0.56618	0.54532	0.5958	0.46972	0.68329	0.48985	0.62004	0.66036	0.62368	0.6272	0.59213	0.64034	0.60819	0.57663	0.49453	0.5727	0.5623	0.63355	0.54551	0.601	0.74082	0.50269	0.54747	0.56858	0.71923	0.6316	0.6132	0.52101	0.49355	
D00340	0.4613	0.67056	0.6745	0.59116	0.67951	0.55924	0.69616	0.56912	0.62631	0.61723	0.67091	0.58984	0.59631	0.60211	0.60949	0.66147	0.58577	0.66341	0.79528	0.51685	0.73302	0.72813	0.67774	1.0	0.63629	0.68306	0.71184	0.57543	0.5909	0.64955	0.5681	0.5707	0.55839	0.57049	0.5053	0.57355	0.52446	0.70211	0.72076	0.72691	0.56403	0.54738	0.58886	0.5598	0.52971	0.49476	0.5739	0.59568	0.57813	0.55827	0.79863	0.68719	0.47282	0.55114	0.64991	0.66785	0.61112	0.63773	0.64528	0.47744	
D00345	0.42424	0.55355	0.6039	0.57395	0.58579	0.57162	0.66093	0.54695	0.62969	0.54671	0.73333	0.59657	0.60735	0.62233	0.63187	0.67784	0.561	0.57187	0.54129	0.42897	0.70678	0.71371	0.55467	0.54577	1.0	0.61825	0.66557	0.54985	0.53726	0.6144	0.5996	0.53841	0.59303	0.60919	0.50637	0.53632	0.47187	0.64104	0.67798	0.54628	0.56796	0.65763	0.57468	0.60053	0.59448	0.51443	0.57598	0.51482	0.56638	0.52491	0.60274	0.67089	0.51035	0.55878	0.57332	0.59829	0.52754	0.62139	0.46348	0.47571	
D00349	0.43548	0.58973	0.5744	0.58513	0.57361	0.53778	0.62439	0.46976	0.58765	0.54865	0.57737	0.53919	0.51209	0.51631	0.6843	0.85275	0.52753	0.54672	0.57043	0.4678	0.63311	0.6541	0.54248	0.56113	0.5776	1.0	0.67537	0.49512	0.51847	0.64503	0.55687	0.47223	0.48909	0.52671	0.50635	0.58731	0.46046	0.83913	0.83299	0.5847	0.54639	0.5212	0.55278	0.53013	0.57999	0.49868	0.5536	0.53299	0.57503	0.5536	0.54226	0.60544	0.48381	0.49123	0.57361	0.54982	0.57977	0.58607	0.50999	0.47511	
D00351	0.41615	0.60395	0.57073	0.55496	0.51816	0.51833	0.55245	0.48519	0.62479	0.50119	0.60863	0.56378	0.49531	0.46042	0.54804	0.5549	0.52243	0.557	0.55617	0.4025	0.52198	0.55135	0.55374	0.5098	0.52125	0.55992	1.0	0.46293	0.4713	0.57013	0.54262	0.47999	0.44993	0.50972	0.41814	0.51248	0.42215	0.5533	0.53687	0.53499	0.49038	0.51549	0.45489	0.51215	0.49883	0.42443	0.47113	0.44084	0.49113	0.48779	0.4877	0.63148	0.42233	0.45246	0.51841	0.52613	0.49843	0.57564	0.44117	0.39153	
D00354	0.44031	0.61313	0.69851	0.62591	0.63299	0.70926	0.72384	0.58405	0.68037	0.54802	0.70267	0.63322	0.61714	0.56456	0.68732	0.7186	0.63178	0.63547	0.70624	0.48651	0.73093	0.70655	0.62193	0.634	0.68564	0.6577	0.69383	1.0	0.55321	0.67278	0.66629	0.5857	0.63203	0.61444	0.51141	0.59652	0.63029	0.65677	0.67283	0.61839	0.65093	0.64883	0.57333	0.57352	0.59684	0.49905	0.49483	0.59606	0.66651	0.57232	0.63224	0.70511	0.47333	0.62252	0.67545	0.56077	0.59942	0.62646	0.59685	0.4409	
D00358	0.52768	0.7052	0.77622	0.66555	0.64901	0.69504	0.69364	0.58421	0.72646	0.63193	0.76873	0.73436	0.68645	0.59149	0.78304	0.7315	0.66644	0.78263	0.70815	0.57856	0.7003	0.71707	0.69152	0.68462	0.70021	0.70544	0.71953	0.59442	1.0	0.75049	0.69924	0.58783	0.63458	0.7253	0.59896	0.73876	0.51693	0.70176	0.70189	0.69597	0.72023	0.68435	0.72027	0.72325	0.66719	0.68164	0.6725	0.74563	0.71918	0.73107	0.63537	0.73591	0.50053	0.63378	0.74895	0.67107	0.69703	0.69317	0.68184	0.63788	
D00364	0.46465	0.64712	0.6811	0.59285	0.57947	0.61062	0.62248	0.51964	0.67637	0.67379	0.63892	0.74842	0.56581	0.57086	0.65918	0.7377	0.6101	0.6857	0.6072	0.48004	0.59931	0.61169	0.65603	0.55903	0.6144	0.6938	0.72022	0.53699	0.58754	1.0	0.59841	0.53723	0.51543	0.61037	0.5105	0.71724	0.44653	0.65813	0.68478	0.61062	0.59369	0.58224	0.58833	0.57559	0.59448	0.48909	0.54946	0.55303	0.65724	0.63913	0.5887	0.70191	0.48461	0.519	0.62557	0.64936	0.59266	0.61282	0.56602	0.46324	
D00367	0.46079	0.63625	0.84176	0.62778	0.58131	0.75814	0.66688	0.57861	0.78344	0.65155	0.76032	0.68258	0.61347	0.58495	0.73039	0.68445	0.61497	0.6916	0.6356	0.4669	0.67961	0.67758	0.66563	0.5681	0.69012	0.67186	0.74466	0.60771	0.60551	0.68894	1.0	0.58042	0.50977	0.68348	0.46585	0.69163	0.49014	0.6589	0.67368	0.63574	0.61449	0.74769	0.60653	0.66512	0.63961	0.47913	0.49116	0.56136	0.73053	0.60771	0.58688	0.69803	0.48896	0.53449	0.70695	0.63659	0.59549	0.62801	0.54487	0.4613	
D00373	0.42272	0.62077	0.6191	0.63415	0.61641	0.64683	0.63342	0.86565	0.7117	0.55802	0.67773	0.55409	0.61808	0.54284	0.55104	0.58477	0.575	0.63109	0.57221	0.46051	0.67569	0.68367	0.61702	0.55932	0.61989	0.58604	0.67626	0.51742	0.48541	0.6187	0.56031	1.0	0.59835	0.52533	0.46546	0.53325	0.54779	0.61135	0.63382	0.65979	0.55437	0.55487	0.51429	0.49926	0.56906	0.4714	0.4679	0.45473	0.48819	0.48408	0.53291	0.7031	0.49812	0.55802	0.57308	0.57435	0.47171	0.63427	0.45538	0.45507	
D00379	0.49589	0.58334	0.60072	0.62806	0.9061	0.51881	0.64079	0.61297	0.61661	0.45493	0.6626	0.56237	0.62388	0.5979	0.61225	0.59313	0.55103	0.60083	0.59591	0.56408	0.78992	0.78229	0.58603	0.53626	0.66545	0.59476	0.64043	0.55458	0.52394	0.58786	0.48764	0.58729	1.0	0.61234	0.53792	0.46278	0.66417	0.61002	0.67852	0.54894	0.56146	0.52857	0.58588	0.53933	0.5	0.55894	0.63368	0.54321	0.55954	0.49167	0.51251	0.6501	0.49104	0.62791	0.52802	0.50274	0.52923	0.66797	0.52812	0.51209	
D00380	0.50009	0.70533	0.79121	0.63864	0.67921	0.63682	0.70691	0.58542	0.70533	0.56945	0.76194	0.66789	0.67107	0.58315	0.70562	0.71087	0.67122	0.71869	0.72372	0.56102	0.71241	0.71873	0.69295	0.60564	0.72687	0.67303	0.72908	0.58874	0.66306	0.72806	0.71863	0.57085	0.66766	1.0	0.56828	0.61945	0.51402	0.67155	0.7127	0.6693	0.6196	0.58686	0.76839	0.76913	0.58529	0.59269	0.62526	0.688	0.72148	0.62582	0.57432	0.73785	0.53211	0.5826	0.70709	0.61818	0.69002	0.70445	0.62939	0.53661	
D00392	0.6147	0.69513	0.68955	0.64831	0.70762	0.65224	0.71645	0.65266	0.66047	0.60773	0.70611	0.668	0.68835	0.65562	0.66405	0.75803	0.68698	0.69224	0.6948	0.59852	0.7235	0.71912	0.66628	0.66931	0.70163	0.74208	0.69523	0.63502	0.67847	0.72776	0.62037	0.63617	0.71495	0.70962	1.0	0.60243	0.6161	0.73629	0.73133	0.72874	0.65299	0.70445	0.72135	0.65574	0.6031	0.79588	0.75335	0.62419	0.70498	0.59897	0.68469	0.68826	0.6778	0.7169	0.67975	0.62928	0.71067	0.73282	0.57848	0.67218	
D00394	0.47438	0.68985	0.78727	0.62493	0.54967	0.67757	0.67375	0.56521	0.75883	0.81751	0.75883	0.81575	0.6133	0.53661	0.76683	0.69329	0.64897	0.80809	0.66122	0.49802	0.64538	0.65529	0.77073	0.59698	0.64495	0.7255	0.72607	0.55917	0.67362	0.82587	0.71506	0.56739	0.50703	0.607	0.45306	1.0	0.48841	0.69889	0.69045	0.66227	0.64761	0.64971	0.62977	0.64817	0.75159	0.51101	0.55863	0.58069	0.73339	0.735	0.58307	0.75407	0.48662	0.55214	0.74565	0.78392	0.59926	0.63465	0.61678	0.5103	
D00418	0.53731	0.61347	0.60805	0.66458	0.73163	0.57155	0.66498	0.61532	0.63439	0.46755	0.63473	0.55578	0.59789	0.52731	0.61993	0.62224	0.59644	0.60727	0.60374	0.60305	0.73093	0.72615	0.60643	0.58303	0.60766	0.62304	0.65306	0.63029	0.47572	0.58232	0.54871	0.61607	0.74162	0.53971	0.49249	0.52575	1.0	0.66766	0.70095	0.60215	0.58073	0.54642	0.55202	0.47531	0.54642	0.51858	0.49483	0.49905	0.59631	0.49304	0.55137	0.66508	0.49405	0.54563	0.57638	0.52034	0.51895	0.64504	0.46139	0.47935	
D00437	0.4244	0.56975	0.55364	0.53706	0.56744	0.52112	0.5743	0.48769	0.55886	0.52015	0.55919	0.51124	0.49658	0.52168	0.64798	0.81726	0.52102	0.54011	0.53967	0.45485	0.62298	0.65431	0.53578	0.56424	0.57976	0.81615	0.65143	0.4806	0.5026	0.5892	0.52756	0.48114	0.48747	0.5107	0.49117	0.54569	0.49148	1.0	0.91558	0.56401	0.52858	0.5154	0.53493	0.51359	0.54935	0.49451	0.54659	0.51628	0.55589	0.5347	0.55735	0.57281	0.48083	0.47727	0.55422	0.53114	0.56037	0.57539	0.48372	0.47296	
D00438	0.38572	0.5279	0.53542	0.52715	0.57149	0.49842	0.55586	0.46093	0.53959	0.47931	0.55787	0.49899	0.48622	0.48721	0.60713	0.76269	0.50818	0.55088	0.52295	0.44221	0.6429	0.65284	0.52976	0.54446	0.56697	0.77422	0.59039	0.46388	0.47335	0.58683	0.50391	0.46405	0.51528	0.51681	0.46361	0.50109	0.492	0.8764	1.0	0.52598	0.50421	0.48166	0.50119	0.50128	0.51349	0.45477	0.53841	0.47602	0.52835	0.49172	0.52059	0.54402	0.45479	0.46075	0.55391	0.49796	0.5136	0.53426	0.44826	0.42952	
D00451	0.50436	0.66976	0.66072	0.60791	0.60688	0.57393	0.69547	0.64841	0.64746	0.59611	0.65913	0.58969	0.5677	0.54148	0.63508	0.65877	0.60485	0.64856	0.70091	0.48031	0.69957	0.69647	0.66254	0.70538	0.60965	0.68224	0.71972	0.53959	0.57756	0.67398	0.60344	0.63826	0.53818	0.6047	0.54573	0.60845	0.52429	0.6789	0.6827	1.0	0.52273	0.5983	0.53212	0.5763	0.583	0.50544	0.50073	0.59067	0.61202	0.62501	0.67852	0.67716	0.47045	0.54195	0.6206	0.61296	0.54459	0.63765	0.65155	0.42926	
D00456	0.43412	0.74265	0.66832	0.64793	0.59806	0.70209	0.68969	0.55858	0.70834	0.62803	0.72105	0.70256	0.72762	0.57762	0.6806	0.68887	0.62519	0.72227	0.62775	0.50798	0.72593	0.7012	0.69704	0.57574	0.66754	0.67645	0.69819	0.60264	0.63574	0.69327	0.6262	0.57713	0.59465	0.59546	0.49608	0.63554	0.53245	0.67412	0.68704	0.56579	1.0	0.57375	0.66795	0.65254	0.60858	0.53616	0.5496	0.57099	0.62416	0.56676	0.5433	0.72063	0.46209	0.6114	0.66969	0.66303	0.6571	0.63119	0.57063	0.51884	
D00464	0.45075	0.61776	0.73266	0.62141	0.65467	0.79343	0.70891	0.57472	0.70973	0.64729	0.75246	0.67196	0.60173	0.64571	0.65529	0.67683	0.65133	0.68266	0.655	0.47367	0.67252	0.67963	0.66985	0.55909	0.75721	0.6399	0.72331	0.60055	0.59986	0.68001	0.75941	0.58635	0.56176	0.56272	0.55732	0.63764	0.49814	0.64989	0.65796	0.64136	0.57375	1.0	0.54944	0.56676	0.68698	0.53668	0.56624	0.51953	0.64447	0.58444	0.65702	0.68029	0.51461	0.55941	0.68384	0.64693	0.53858	0.62175	0.554	0.51937	
D00474	0.54946	0.74876	0.7388	0.64636	0.71891	0.66444	0.72423	0.617	0.69215	0.6344	0.7714	0.71081	0.78728	0.57127	0.74219	0.74391	0.73305	0.79611	0.72089	0.62277	0.71098	0.71707	0.78607	0.68258	0.73762	0.73974	0.70312	0.61454	0.72027	0.75128	0.70025	0.61672	0.69652	0.83264	0.62943	0.70446	0.59322	0.73409	0.72973	0.65054	0.75244	0.63393	1.0	0.80796	0.65056	0.6612	0.67011	0.76807	0.77065	0.69083	0.6045	0.76541	0.48076	0.61418	0.7335	0.7076	0.73769	0.6743	0.68118	0.63855	
D00477	0.49827	0.72497	0.75037	0.64598	0.61841	0.66289	0.6848	0.58201	0.72497	0.54683	0.81589	0.75469	0.71797	0.54862	0.75513	0.71897	0.68243	0.74206	0.7049	0.54388	0.67851	0.71604	0.7169	0.61837	0.73632	0.69271	0.74306	0.57352	0.72325	0.71138	0.7142	0.56754	0.61678	0.79482	0.53213	0.68551	0.47531	0.68977	0.71023	0.66242	0.70082	0.61504	0.76675	1.0	0.6483	0.61678	0.66933	0.69427	0.66598	0.63208	0.55533	0.75447	0.57072	0.60539	0.67545	0.63214	0.69524	0.67335	0.57971	0.6154	
